TÍTULO,DIRECTOR,PRODUCTOR,DURACIÓN,DISTRIBUIDOR,ESPECTADORES,TAQUILLA,FECHA DE ESTRENO,CLASIFICACIÓN,AÑO DE ESTRENO,MES DE ESTRENO
¿POR QUÉ DEJARON A NACHO? SI ERA TAN BUENO EL MUCHACHO,FERNANDO AYLLÓN,64 - A FILMS S.A.S,95.3,BABILLA CINÉ,44335,284847687,14/09/2012,,2012,September
180 SEGUNDOS,ALEXANDER GIRALDO,64 - A FILMS S.A.S,90.0,BABILLA CINÉ,160828,1111490622,13/04/2013,,2013,April
ALIAS MARIA,JOSÉ LUÍS RÚGELES,RHAYUELA CINE S.A.,91.5,CINE COLOMBIA,8664,63109000,12/11/2015,MAY 12 AÑOS,2015,November
AMAR A MORIR,FERNANDO LEBRIJA,RIO NEGRO COLOMBIA PRODUCCIONES LTDA,120.0,RIO NEGRO PRODUCCIONES,71945,437162034,16/10/2009,,2009,October
AMORES PELIGROSOS,ANTONIO DORADO ZÚÑIGA,FUNDACIÓN IMAGEN LATINA,93.0,CINE COLOMBIA,38302,285773791,11/10/2013,,2013,October
ANINA,ALFREDO SODERGUIT,ANTORCHA FILMS,78.0,CINE COLOMBIA,12927,84164568,24/01/2014,,2014,January
ANTES DEL FUEGO,LAURA MORA,LABERINTO CINE Y TELEVISIÓN LTDA.,85.2,CINE COLOMBIA,13418,155675600,6/8/2015,MAY 12 AÑOS,2015,August
"APAPORIS, SECRETOS DE LA SELVA",ANTONIO DORADO ZÚÑIGA,FUNDACIÓN IMAGEN LATINA,72.0,CINE COLOMBIA,44177,278741500,17/02/2012,,2012,February
APATÍA,ARTURO ORTEGÓN,OJO DE HURACÁN PRODUCCIONES,96.1,PROCINAL,4183,26300500,23/11/2012,,2012,November
BOLAETRAPO,GUILLERMO IVÁN,BOLAETRAPO FILMS,90.0,PROCINAL,10431,69140000,21/03/2014,,2014,March
CARRUSEL,GUILLERMO IVÁN,PARADIGMA FILMS S.A.S,103.0,UIP,25758,176499653,24/08/2012,,2012,August
CARTA A UNA SOMBRA,DANIELA ABAD Y MIGUEL SALAZAR,PRODUCCIONES LA ESPERANZA,73.2,CINE COLOMBIA,25674,208716300,25/6/2015,MAY 7 AÑOS,2015,June
CARTA AL NIÑO DIOS,JUAN CAMILO PINZÓN GÓMEZ,DAGO GARCÍA PRODUCCIONES S.A.S,90.0,CINE COLOMBIA,126846,853435009,13/11/2014,,2014,November
CAZANDO LUCIÉRNAGAS,ROBERTO FLORES PRIETO,KYMERA PRODUCCIONES E.U.,100.0,CINE COLOMBIA,7256,56603323,25/10/2013,,2013,October
CHANCE,ABNER BENAIM,RIO NEGRO COLOMBIA PRODUCCIONES LTDA,90.0,UIP,118336,652650600,12/03/2010,,2010,March
CHOCÓ,JHONNY HENDRY HINESTROZA,ANTORCHA FILMS,80.0,CINE COLOMBIA,31995,237060369,03/08/2012,,2012,August
CIUDAD DELIRIO,CHUS GUTIÉRREZ,64 - A FILMS S.A.S,100.6,CINE COLOMBIA,298939,2206547231,11/04/2014,,2014,April
CLIMAS,ENRICA PÉREZ,BURNING BLUE,84.0,CINEPLEX,955000,5892250,04/12/2014,,2014,December
CON AMOR Y SIN AMOR,DAVID SERRANO,CAYSA PRODUCCIONES LTDA,97.0,UIP,25009,167212870,08/08/2011,,2011,August
CONTRACORRIENTE,JAVIER FUENTES LEÓN,CONTRACORRIENTE PRODUCCIONES LTDA,98.0,,37972,277802875,23/04/2010,,2010,April
CRIMEN CON VISTA AL MAR,GERARDO HERRERO,ENNOVA FILMS,95.0,CINE COLOMBIA,101548,768839481,16/08/2013,,2013,August
CRÓNICA DEL FIN DEL MUNDO,MAURICIO CUERVO,PEZ DORADO PRODUCCIONES S.A.S,84.3,PROCINAL,1311,7460055,29/11/2013,,2013,November
CUARENTA,CARLOS FERNÁNDEZ DE SOTO,LULOFILMS S.A.S,78.0,BABILLA CINÉ,1083,5022900,25/12/2010,,2010,December
